제목,기관명,표준직무(NCS),고용형태,대체인력여부,채용구분,공고기간,학력정보,근무지,채용인원,원문URL,등록일,마감일,상태
[직원채용] 무기계약직 간호직(이비인후과 전담 간호사) 공개 채용,동남권원자력의학원,보건.의료,무기계약직,아니오,신입+경력,2025.10.03~2025.10.16,대졸(2~3년),부산,1명,https://diramsjob.recruiter.co.kr/career/home,2025.10.03,2025.10.16,진행중
한전KDN(주) 구미지사 AMI분야 일용근로자 모집공고,한전KDN,전기.전자/정보통신,비정규직,아니오,신입+경력,2025.10.03~2025.10.19,학력무관,경북,1명,.,2025.10.03,2025.10.19,진행중
한전KDN(주) 부산울산경남지역본부 직할 AMI분야 비정규직 모집공고,한전KDN,정보통신,비정규직,아니오,신입+경력,2025.10.03~2025.10.18,학력무관,부산,16명,없음.,2025.10.03,2025.10.18,진행중
한국수산자원공단 2025년도 제3차 직원(일반정규직·무기계약직·기간제 근로자·체험형 청년인턴) 채용 공고,한국수산자원공단,사업관리/경영.회계.사무/건설/환경.에너지.안전/농림어업/연구,무기계약직/비정규직/청년인턴(체험형)/정규직,예,신입+경력,2025.10.02~2025.10.21,학력무관/대졸(2~3년)/대졸(4년)/석사/박사,인천/부산/강원/충남/경북/경남/전남/전북/제주,61명,https://www.fira.or.kr/fira/fira_010101_2.jsp?mode=view&article_no=34820&board_wrapper=%2Ffira%2Ffira_010101_2.jsp&pager.offset=0&board_no=3,2025.10.02,2025.10.21,진행중
사회형평적 체험형 청년인턴(장애·자립준비청년) 채용 재공고,공무원연금공단,사업관리/경영.회계.사무,청년인턴(체험형),아니오,신입,2025.10.02~2025.10.17,학력무관,서울/대구/부산/광주/제주/세종,10명,https://www.geps.or.kr/notiCommunication_info_incruit/39784,2025.10.02,2025.10.17,진행중
(주)강원랜드 2025년 동계시즌 기간제 근로자 모집 공고,(주)강원랜드,경영.회계.사무/보건.의료/운전.운송/이용.숙박.여행.오락.스포츠/음식서비스,비정규직,아니오,신입+경력,2025.10.02~2025.10.20,학력무관,대전/대구/강원,724명,https://kangwon.cairos.co.kr/kangwon,2025.10.02,2025.10.20,진행중
[한전KPS(주)] 2025년도 하반기 경력사원 및 전문계약직 채용공고,한전KPS(주),법률.경찰.소방.교도.국방/환경.에너지.안전,비정규직/정규직,아니오,경력,2025.10.02~2025.10.17,학력무관,서울/인천/대전/대구/부산/광주/울산/경기/강원/충남/충북/경북/경남/전남/전북/제주/세종/해외,22명,https://kps.saramin.co.kr,2025.10.02,2025.10.17,진행중
2025년 청년인턴 3차 채용 및 PAO인턴 채용 공고,한국교통연구원,경영.회계.사무,청년인턴(체험형),아니오,신입,2025.10.02~2025.10.17,학력무관,세종,2명,https://www.koti.re.kr/user/bbs/empmnInfo02View.do?bbs_no=70905,2025.10.02,2025.10.17,진행중
[한전KPS(주)]2025년도 하반기 별정직 신입사원(일반_ 장애인 전기담당원) 채용공고,한전KPS(주),전기.전자,정규직,아니오,신입,2025.10.02~2025.10.21,학력무관,서울/인천/대전/대구/부산/광주/울산/경기/강원/충남/충북/경북/경남/전남/전북/제주/세종,13명,https://kps.saramin.co.kr,2025.10.02,2025.10.21,진행중
[한전KPS(주)]2025년도 하반기 신입사원 채용공고,한전KPS(주),경영.회계.사무/건설/기계/재료/전기.전자/정보통신,정규직,아니오,신입,2025.10.02~2025.10.21,학력무관/고졸,서울/인천/대전/대구/부산/광주/울산/경기/강원/충남/충북/경북/경남/전남/전북/제주/세종/해외,140명,https://kps.saramin.co.kr,2025.10.02,2025.10.21,진행중
[광주보훈병원] 전문의(신경외과) 직원 채용,한국보훈복지의료공단,보건.의료,비정규직,아니오,신입+경력,2025.10.02~2025.10.13,학력무관,광주,1명,https://gwangju.bohun.or.kr/010intro/05_body_view.php?left=9&postidx=65494&boardid=cbid2&page=1&opt=&keyword=,2025.10.02,2025.10.13,진행중
[덕유산] 2025년 덕유산사무소 국립공원지킴이 5차(한시인력) 모집 공고문,국립공원공단,환경.에너지.안전,비정규직,아니오,신입+경력,2025.10.02~2025.10.13,학력무관,전북,3명,https://www.knps.or.kr/front/portal/recruit/recruitDtl.do?menuNo=7070064&emplyId=EMPM018129,2025.10.02,2025.10.13,진행중
계약직 전문의 채용 재공고 (감염병병원설립기획팀),국립중앙의료원,보건.의료,비정규직,아니오,신입+경력,2025.10.02~2025.10.13,대졸(4년),서울,1명,https://nmc.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=230797,2025.10.02,2025.10.13,진행중
2025년 단시간근무자(보훈제한경쟁) 채용 공고,서울대학교치과병원,보건.의료,비정규직,아니오,신입,2025.10.02~2025.10.16,학력무관,서울,1명,https://snudh.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=230759,2025.10.02,2025.10.16,진행중
기간제근무자(원무직-수납)채용 공고,서울대학교치과병원,경영.회계.사무/보건.의료,비정규직,예,신입+경력,2025.10.02~2025.10.16,학력무관,서울,1명,https://snudh.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=230727,2025.10.02,2025.10.16,진행중
2025-7호 한국청소년상담복지개발원 직원 모집,한국청소년상담복지개발원,경영.회계.사무/문화.예술.디자인.방송,비정규직,아니오,신입+경력,2025.10.02~2025.10.17,고졸/대졸(4년),서울,18명,https://kyci.fairyhr.com,2025.10.02,2025.10.17,진행중
2025년 계약직(육아휴직 대체 포함) 및 인턴 충원 채용공고,주식회사 에스알,사업관리/경영.회계.사무/교육.자연.사회과학/법률.경찰.소방.교도.국방/보건.의료/사회복지.종교/운전.운송/기계,비정규직/청년인턴(체험형),예,신입+경력,2025.10.02~2025.10.20,학력무관,서울/광주,5명,https://www.srail.or.kr/hpg/hba/01/view.do?anncNo=203&pageId=KR0604000000,2025.10.02,2025.10.20,진행중
2025년 직원 채용(4차) 공고,한국교통연구원,경영.회계.사무/연구,비정규직,예,신입+경력,2025.10.02~2025.10.17,학력무관/대졸(4년)/석사/박사,세종,6명,https://www.koti.re.kr/user/bbs/empmnInfo02View.do?bbs_no=70904,2025.10.02,2025.10.17,진행중
2025년도 한국자산관리공사 체험형 인턴(2차) 채용공고,한국자산관리공사,경영.회계.사무/금융.보험/영업판매/건설,청년인턴(체험형),아니오,신입,2025.10.02~2025.10.16,학력무관,서울/대전/대구/부산/광주/경기/강원/충남/충북/경북/경남/전북/제주,75명,https://kamco.saramin.co.kr,2025.10.02,2025.10.16,진행중
2025년 2차 박사후연구원 및 석사후연구원 공개채용 공고,한국한의학연구원,연구,비정규직,아니오,신입+경력,2025.10.02~2025.10.17,석사/박사,대전,6명,https://kiom.recruitment.kr/,2025.10.02,2025.10.17,진행중
한국화학연구원 2025년 하반기 정규직원(경영행정분야) 채용 공고,한국화학연구원,사업관리/경영.회계.사무/환경.에너지.안전,무기계약직,아니오,신입+경력,2025.10.02~2025.10.17,학력무관/대졸(4년),대전,3명,https://krict.recruitment.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=72,2025.10.02,2025.10.17,진행중
한국화학연구원 2025년 하반기 정직원(경영행정분야) 채용 공고,한국화학연구원,사업관리/경영.회계.사무,정규직,아니오,신입+경력,2025.10.02~2025.10.17,학력무관,대전/전남,6명,https://krict.recruitment.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=71,2025.10.02,2025.10.17,진행중
한국도로공사서비스(주) 수도권동부권역본부 기간제근로자 채용 공고,한국도로공사서비스(주),운전.운송,비정규직,예,신입,2025.10.02~2025.10.16,학력무관,경기,14명,https://www.exservice.co.kr/boad/bd_recruit/egoread.php?bd=1&itm=&txt=&pg=1&seq=4831,2025.10.02,2025.10.16,진행중
[전주보훈요양원] 육아휴직대체 계약직(간호사_ 사회복지사무원) 공개채용,한국보훈복지의료공단,경영.회계.사무/사회복지.종교,비정규직,예,신입+경력,2025.10.02~2025.10.20,학력무관,전북,3명,https://jjcare.bohun.or.kr/060board/board02_view.asp?bid=72&cateid=&page=1&idx=14206&smode=&skey=&left=2,2025.10.02,2025.10.20,진행중
한국해양수산연수원 2025년도 제4차 계약직 직원 채용 공고,한국해양수산연수원,경영.회계.사무/교육.자연.사회과학/전기.전자,비정규직,예,신입+경력,2025.10.02~2025.10.21,학력무관/대졸(2~3년)/박사,인천/부산,8명,https://kimft.recruiter.co.kr,2025.10.02,2025.10.21,진행중
[대한적십자사 충남지사] 비정규직(사무보조직) 채용 공고,대한적십자사,경영.회계.사무/사회복지.종교,비정규직,아니오,신입,2025.10.02~2025.10.17,학력무관,충남,1명,https://www.redcross.or.kr/recruit/,2025.10.02,2025.10.17,진행중
한전KDN(주)경기강원지역본부 AMI분야 비정규직 모집공고,한전KDN,정보통신,비정규직,아니오,신입+경력,2025.10.02~2025.10.16,학력무관,경기,1명,없음,2025.10.02,2025.10.16,진행중
2025년 제8차 계약직직원 채용 공고,한국식품안전관리인증원,경영.회계.사무/보건.의료/식품가공,비정규직,아니오,신입+경력,2025.10.02~2025.10.16,대졸(4년)/석사/박사,충북,1명,https://www.haccp.or.kr/user/board.do?board=763,2025.10.02,2025.10.16,진행중
2025년도 2차 한국자산관리공사 장애인 단기계약직 채용 공고,한국자산관리공사,경영.회계.사무/금융.보험/영업판매/건설,청년인턴(체험형),아니오,신입,2025.10.02~2025.10.16,학력무관,서울/대전/대구/부산/경기/강원/충북/경남/전북,9명,https://kamco.saramin.co.kr,2025.10.02,2025.10.16,진행중
기술보증기금 사무지원인력 채용공고 (사하지점),기술보증기금,금융.보험,비정규직,예,신입,2025.10.02~2025.10.17,고졸,부산,1명,https://www.kibo.or.kr/,2025.10.02,2025.10.17,진행중
한전KDN(주) 강남지사 배전자동화분야 작업원 모집공고 ,한전KDN,전기.전자/정보통신,비정규직,아니오,신입+경력,2025.10.02~2025.10.16,학력무관,서울,2명,해당없음,2025.10.02,2025.10.16,진행중
국립광주과학관 2025년도 제3회 직원 공개경쟁 채용,국립광주과학관,문화.예술.디자인.방송/경비.청소,무기계약직/비정규직/정규직,예,신입,2025.10.02~2025.10.20,학력무관,광주,2명,https://sciencecenter.select-in.co.kr/recruit/apply/recruitDefault?recruit_idx=750&comp_idx=24,2025.10.02,2025.10.20,진행중
오송첨단의료산업진흥재단 2025년 제1차 직원 채용 재공고(연구실안전관리분야-자격요건 확대),오송첨단의료산업진흥재단,환경.에너지.안전,정규직,아니오,신입,2025.10.02~2025.10.16,대졸(2~3년)/대졸(4년),충북,1명,https://kbiohealth.ai-recruit.kr,2025.10.02,2025.10.16,진행중
계약직 야간약사(약제부) 채용 재공고,국립중앙의료원,보건.의료,비정규직,아니오,신입+경력,2025.10.02~2025.10.13,학력무관,서울,2명,https://nmc.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=230658,2025.10.02,2025.10.13,진행중
건축공간연구원 청년인턴 모집,건축공간연구원,경영.회계.사무,청년인턴(체험형),아니오,신입+경력,2025.10.02~2025.10.21,대졸(4년),세종,1명,https://recruit.auri.re.kr,2025.10.02,2025.10.21,진행중
기간제근로자(대체인력) 채용공고[대전세종충남본부 전력사업처_ 천안지사],한국전력공사,전기.전자,비정규직,예,신입,2025.10.02~2025.10.16,학력무관,대전/충남,2명,http://recruit.kepco.co.kr/sangsi,2025.10.02,2025.10.16,진행중
2025년 11월 한국교육과정평가원 비정규직원 모집 공고,한국교육과정평가원,경영.회계.사무/연구,비정규직,아니오,신입,2025.10.02~2025.10.13,고졸/대졸(4년)/석사,충북,5명,https://www.kice.re.kr/boardCnts/view.do?boardID=10028&boardSeq=5095901&lev=0&m=0503&searchType=S&statusYN=W&page=1&s=kice,2025.10.02,2025.10.13,진행중
한국스포츠과학원  초빙연구원 채용공고(2025년 유소년 스포츠 기반 구축 사업 성과평가),서울올림픽기념국민체육진흥공단,연구,비정규직,아니오,신입+경력,2025.10.02~2025.10.16,대졸(4년)/석사,서울,1명,https://www.sports.re.kr/front/board/job/boardView.do?board_seq=115&pageNo=1&menu_seq=+997&con_seq=6478&keyKind3=&keyKind4=&keyKind5=&keyKind6=&keyKind7=&keyKind=TITLE&keyWord=,2025.10.02,2025.10.16,진행중
한국보건사회연구원 계약직 연구원 채용 공고(사회보장정책연구실),한국보건사회연구원,사업관리/연구,비정규직,아니오,신입,2025.10.02~2025.10.17,석사,세종,1명,https://kihasa.recruiter.co.kr,2025.10.02,2025.10.17,진행중
한전KPS(주)강원충북전력지사 단기노무원(태백지점 부지정비) 채용 공고,한전KPS(주),건설/전기.전자,비정규직,아니오,신입+경력,2025.10.02~2025.10.13,학력무관,강원,4명,www.kps.co.kr,2025.10.02,2025.10.13,진행중
2025-6호 한국청소년상담복지개발원 직원 모집,한국청소년상담복지개발원,사업관리/경영.회계.사무/교육.자연.사회과학/사회복지.종교,비정규직,예,신입,2025.10.02~2025.10.17,고졸/대졸(4년)/석사,부산,19명,https://kyci.fairyhr.com,2025.10.02,2025.10.17,진행중
한전KPS(주)강원충북전력지사 단기노무원(안전감시관) 채용 공고,한전KPS(주),전기.전자/환경.에너지.안전,비정규직,아니오,신입+경력,2025.10.02~2025.10.17,학력무관,강원/충북,2명,https://www.kps.co.kr,2025.10.02,2025.10.17,진행중
2025년 제11차 위촉직원 채용공고 (휴직대체),산업연구원,경영.회계.사무/연구,비정규직,예,신입+경력,2025.10.02~2025.10.16,대졸(4년)/석사,세종,2명,https://www.kiet.re.kr/communicate/ntcHireView?ntc_no=10603&skey=&sval=&pg=1&pp=10,2025.10.02,2025.10.16,진행중
[제2025-76호]2025년도 제1차 중앙장애아동발달장애인지원센터 서비스지원팀 기간제 계약직 채용 ,한국장애인개발원,사업관리/사회복지.종교,비정규직,아니오,신입+경력,2025.10.02~2025.10.16,학력무관,서울,1명,https://koddi.fairyhr.com/,2025.10.02,2025.10.16,진행중
2025년 신입(보훈) 채용,한국농수산식품유통공사,사업관리/경영.회계.사무,정규직,아니오,신입,2025.10.02~2025.10.17,학력무관,전남,4명,https://at.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=230460,2025.10.02,2025.10.17,진행중
[월악산] 2025년도 월악산국립공원사무소 기간제(탐방로보수) 직원 채용 공고,국립공원공단,이용.숙박.여행.오락.스포츠/건설,비정규직,아니오,신입+경력,2025.10.02~2025.10.08,학력무관,충북,3명,https://www.knps.or.kr/front/portal/recruit/recruitDtl.do?menuNo=7070064&emplyId=EMPM018126,2025.10.02,2025.10.08,진행중
우체국금융개발원 2025년 제11차 (사무보조_문화예술직무 장애인 제한경쟁) 공개채용,(재)우체국금융개발원,경영.회계.사무/문화.예술.디자인.방송,비정규직,아니오,신입,2025.10.02~2025.10.21,학력무관,서울/대구/부산,18명,https://www.posid.or.kr/,2025.10.02,2025.10.21,진행중
한전KPS(주) 한울1사업처 단기노무원(안전감시관) 채용 모집,한전KPS(주),환경.에너지.안전,비정규직,아니오,신입+경력,2025.10.02~2025.10.17,학력무관,경북,3명,https://www.kps.co.kr,2025.10.02,2025.10.17,진행중
[태백병원] 별정직 및 기간제 의사(병동당직의) 채용 공고,근로복지공단,보건.의료,비정규직/정규직,아니오,신입,2025.10.02~2025.10.13,학력무관,강원,2명,https://www.comwel.or.kr/recruit/hp/main.do,2025.10.02,2025.10.13,진행중
[동해병원] 기간제 의사(직업환경의학과) 채용 공고,근로복지공단,보건.의료,비정규직,아니오,신입,2025.10.02~2025.10.10,학력무관,강원,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.10.02,2025.10.10,진행중
국토연구원 2025년 제10차 위촉직(기간제) 공개채용,국토연구원,연구,비정규직,아니오,신입+경력,2025.10.02~2025.10.16,학력무관,세종,4명,https://recruit.krihs.re.kr/ext/rec/rec_5010.do?ANNC_NO=25100101&SUPT_FLD_CD=0&DEG=0,2025.10.02,2025.10.16,진행중
[동해병원] 기간제 의사(병동당직의) 채용 공고,근로복지공단,보건.의료,비정규직,아니오,신입,2025.10.02~2025.10.10,학력무관,강원,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.10.02,2025.10.10,진행중
[동해병원] 기간제 의사(응급실전담의) 채용 공고,근로복지공단,보건.의료,비정규직,아니오,신입,2025.10.02~2025.10.10,학력무관,강원,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.10.02,2025.10.10,진행중
[대전병원] 기간제(야간접수수납원) 채용 공고,근로복지공단,보건.의료,비정규직,예,신입,2025.10.02~2025.10.10,학력무관,대전,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.10.02,2025.10.10,진행중
[재활공학연구소] 기간제(전기기계통신기사_전기분야) 채용 공고,근로복지공단,보건.의료/전기.전자,비정규직,예,경력,2025.10.02~2025.10.13,학력무관,인천,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.10.02,2025.10.13,진행중
2025년 하반기 직원 채용 공고,차세대수치예보모델개발사업단,경영.회계.사무/교육.자연.사회과학/연구,비정규직/정규직,예,신입+경력,2025.10.02~2025.10.24,대졸(4년)/석사/박사,서울,2명,https://www.kiaps.org/front/viewAritcle.do?bbsId=BBS_9999_incrut&nttId=2912&authFlag=&pageIndex=1&searchOp6=11&searchCnd=1&searchWrd=,2025.10.02,2025.10.24,진행중
[창원병원] 기간제(사무원) 채용 공고,근로복지공단,경영.회계.사무/보건.의료,비정규직,예,신입,2025.10.02~2025.10.14,학력무관,경남,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.10.02,2025.10.14,진행중
한전KPS(주) 고리1사업소 경상정비공사 단기노무원(사무보조) 채용,한전KPS(주),경영.회계.사무,비정규직,아니오,신입,2025.10.02~2025.10.13,학력무관,부산,2명,htps://www.kps.co.kr,2025.10.02,2025.10.13,진행중
[창원병원] 기간제(작업치료사) 채용 공고,근로복지공단,보건.의료,비정규직,예,신입,2025.10.02~2025.10.14,학력무관,경남,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.10.02,2025.10.14,진행중
[창원병원] 공무직(시설미화원) 채용 공고,근로복지공단,보건.의료,무기계약직,아니오,신입,2025.10.02~2025.10.14,학력무관,경남,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.10.02,2025.10.14,진행중
[창원병원] 공무직(시설경비원) 채용 공고,근로복지공단,보건.의료/경비.청소,무기계약직,아니오,신입+경력,2025.10.02~2025.10.14,학력무관,경남,1명,https://www.comwel.or.kr/recruit/hp/main.do,2025.10.02,2025.10.14,진행중
2025년 5차 기간제(보일러운전원(야간)_ 취사보조원)근로자 채용,재단법인 건설기술교육원,음식서비스/기계,비정규직,아니오,신입+경력,2025.10.02~2025.10.16,학력무관,인천,5명,https://www.kicte.or.kr/portal/community/noticeViewAction.do?buSeqNo=9673,2025.10.02,2025.10.16,진행중
2025년도 제9차 혈액관리본부 소속기관 의무직원 신규 채용 공고(서울동부혈액원),대한적십자사,보건.의료,비정규직,아니오,신입,2025.10.02~2025.10.20,학력무관,서울,1명,https://www.redcross.or.kr/recruit,2025.10.02,2025.10.20,진행중
25년도 한전KPS(주) 월성1사업소 경상정비공사 단기노무원(3차) 채용,한전KPS(주),환경.에너지.안전,비정규직,예,신입+경력,2025.10.02~2025.10.13,학력무관,경북,2명,https://www.kps.co.kr,2025.10.02,2025.10.13,진행중
[대전] 중환자진료센터 계약직 의사 공개채용 모집공고(상시모집),충남대학교병원,보건.의료,비정규직,아니오,신입+경력,2025.10.02~2025.12.31,학력무관,대전,1명,https://cnuhinsa.recruiter.co.kr,2025.10.02,2025.12.31,진행중
[대전] 중환자진료센터 임상교수요원 공개채용 모집공고(상시모집),충남대학교병원,보건.의료,정규직,아니오,신입+경력,2025.10.02~2025.12.31,학력무관/석사,대전,1명,https://cnuhinsa.recruiter.co.kr/career/home,2025.10.02,2025.12.31,진행중
[지리산전남] (재공고)2025년도 국립공원지킴이 추가 모집 공고,국립공원공단,환경.에너지.안전,비정규직,아니오,신입+경력,2025.10.02~2025.10.12,학력무관,전남,1명,https://www.knps.or.kr/front/portal/recruit/recruitDtl.do?menuNo=7070064&emplyId=EMPM018124,2025.10.02,2025.10.12,진행중
국립소방병원 진료교수요원 공개채용,서울대학교병원,보건.의료,비정규직,아니오,신입+경력,2025.10.02~2025.10.16,학력무관,충북,7명,https://www.snuh.org/about/news/recruit/recruView.do?recruit_id=25140,2025.10.02,2025.10.16,진행중
진료교수요원 공개채용,서울대학교병원,보건.의료,비정규직,아니오,신입+경력,2025.10.02~2025.10.16,학력무관,서울,16명,https://www.snuh.org/about/news/recruit/recruView.do?recruit_id=25139,2025.10.02,2025.10.16,진행중
2025년 한국교통안전공단 인재개발처 기간제근로자 채용공고(장애인 청년인턴),한국교통안전공단,경영.회계.사무,청년인턴(체험형),아니오,신입,2025.10.02~2025.10.17,학력무관,경북,7명,https://kotsa1.career.co.kr/,2025.10.02,2025.10.17,진행중
2025년 하반기 체험형 청년인턴 모집 공고,한국도로교통공단,경영.회계.사무,청년인턴(체험형),아니오,신입,2025.10.02~2025.10.20,학력무관,서울/인천/대전/대구/부산/광주/울산/경기/강원/충남/충북/경북/경남/전남/전북/제주,93명,https://www.koroad.or.kr/main/recruit/recruitment_list.do,2025.10.02,2025.10.20,진행중
한국해양진흥공사 전문계약직(변호사_ 회계사_ 세무사_ IT개발자_ 언론전문가_ 조사전문가) 채용,한국해양진흥공사,경영.회계.사무/법률.경찰.소방.교도.국방/문화.예술.디자인.방송/정보통신/연구,비정규직,아니오,경력,2025.10.02~2025.10.16,학력무관,부산,12명,https://kobc.scout.co.kr,2025.10.02,2025.10.16,진행중
2025년 체험형 청년인턴 모집 공고(일반행정_ 대구지사),한국언론진흥재단,사업관리/경영.회계.사무/교육.자연.사회과학/문화.예술.디자인.방송,청년인턴(체험형),아니오,신입,2025.10.02~2025.10.16,학력무관,대구,1명,www.kpf.or.kr,2025.10.02,2025.10.16,진행중
2025년 하반기 3차 휴직자 대체 계약직 채용 공고,한국언론진흥재단,사업관리/경영.회계.사무/교육.자연.사회과학/문화.예술.디자인.방송,비정규직,예,신입,2025.10.02~2025.10.16,학력무관,서울,2명,www.kpf.or.kr,2025.10.02,2025.10.16,진행중
제3차 산업혁신기반구축사업 연구원(계약직) 채용,경북대학교치과병원,사업관리/보건.의료,비정규직,아니오,신입,2025.10.02~2025.10.19,박사,대구,1명,www.knudh.kr,2025.10.02,2025.10.19,진행중
[대전보훈병원] [긴급] 계약직 보건직(사회복지사) 공개채용,한국보훈복지의료공단,보건.의료,비정규직,예,신입+경력,2025.10.02~2025.10.13,학력무관,대전,1명,https://daejeon.bohun.or.kr/010intro/05_body_view.php?left=8&postidx=65487&boardid=cbid2&page=1&opt=&keyword=,2025.10.02,2025.10.13,진행중
2025년 한국교통안전공단 서울본부 장애인 청년인턴 기간제근로자 채용공고,한국교통안전공단,경영.회계.사무,청년인턴(체험형),아니오,신입,2025.10.02~2025.10.17,학력무관,서울,2명,https://kotsa1.career.co.kr/,2025.10.02,2025.10.17,진행중
한국폴리텍대학 광주캠퍼스 행정지원직(휴직 대체인력) 채용 공고,학교법인한국폴리텍,경영.회계.사무,비정규직,예,신입+경력,2025.10.02~2025.10.13,학력무관,광주,1명,https://www.kopo.ac.kr/gwangju/board.do?menu=10541&mode=view&post=759798,2025.10.02,2025.10.13,진행중
한전KDN(주) 경남사업처 배전자동화분야 비정규직 모집공고,한전KDN,전기.전자/정보통신,비정규직,아니오,신입+경력,2025.10.02~2025.10.16,학력무관,경남,1명,없음.,2025.10.02,2025.10.16,진행중
한전KDN(주) 경남사업처 분산에너지분야 비정규직 모집공고,한전KDN,전기.전자/정보통신,비정규직,아니오,신입+경력,2025.10.02~2025.10.16,학력무관,경남,1명,없음.,2025.10.02,2025.10.16,진행중
한전KDN(주) 울산지사 배전분야 작업원 모집공고,한전KDN,정보통신,비정규직,아니오,신입+경력,2025.10.02~2025.10.16,학력무관,울산,1명,없음.,2025.10.02,2025.10.16,진행중
한전KDN(주) 울산지사 AMI 유지보수 일용근로자 모집공고,한전KDN,정보통신,비정규직,아니오,신입+경력,2025.10.02~2025.10.16,학력무관,울산,3명,없음.,2025.10.02,2025.10.16,진행중
2025년 한국교통안전공단 제주본부 기간제근로자(청년인턴-장애인) 통합채용 공고,한국교통안전공단,경영.회계.사무,청년인턴(체험형),아니오,신입,2025.10.02~2025.10.17,학력무관,제주,1명,https://kotsa1.career.co.kr,2025.10.02,2025.10.17,진행중
한전KPS(주) 일산사업소 2025년도 3차 단기노무원 채용,한전KPS(주),전기.전자,비정규직,아니오,신입+경력,2025.10.02~2025.10.13,학력무관,경기,2명,https://www.kps.co.kr,2025.10.02,2025.10.13,진행중
2025년 한국교통안전공단 대전세종충남본부 기간제근로자(청년인턴-장애인) 통합 채용,한국교통안전공단,경영.회계.사무,청년인턴(체험형),아니오,신입,2025.10.02~2025.10.17,학력무관,대전/충남,2명,https://kotsa1.career.co.kr/,2025.10.02,2025.10.17,진행중
한국무역보험공사 2025년 하반기 지원직(무기계약직) 채용공고,한국무역보험공사,경영.회계.사무/운전.운송/경비.청소/환경.에너지.안전,무기계약직,아니오,신입,2025.10.02~2025.10.22,학력무관,서울,6명,https://www.ksure.or.kr/rh-kr/bbs/i-425/detail.do?ntt_sn=624556,2025.10.02,2025.10.22,진행중
2025년 한국교통안전공단 전북본부 기간제근로자(장애인 청년인턴) 통합채용,한국교통안전공단,경영.회계.사무,청년인턴(체험형),아니오,신입,2025.10.02~2025.10.17,학력무관,전북,1명,https://kotsa1.career.co.kr/,2025.10.02,2025.10.17,진행중
한국조세재정연구원 연구위원급(Research Fellow) 정기채용,한국조세재정연구원,연구,정규직,아니오,신입+경력,2025.10.02~2025.11.30,박사,세종,10명,https://www.kipf.re.kr/kor/Plaza/Recruitment/kiRecruitment/view.do?cntNo=427,2025.10.02,2025.11.30,진행중
분당서울대학교병원 진료교수요원(입원전담진료센터) 채용공고,분당서울대학교병원,보건.의료,비정규직,아니오,신입+경력,2025.10.02~2025.10.20,대졸(4년)/석사/박사,경기,2명,https://snubh.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=230418,2025.10.02,2025.10.20,진행중
분당서울대학교병원 연구교수요원(의학연구협력센터) 채용공고,분당서울대학교병원,보건.의료,비정규직,아니오,신입+경력,2025.10.02~2025.10.20,박사,경기,1명,https://snubh.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=230413,2025.10.02,2025.10.20,진행중
서울올림픽기념국민체육진흥공단 경륜·경정 지원직 채용 공고,서울올림픽기념국민체육진흥공단,경비.청소/이용.숙박.여행.오락.스포츠/기계,무기계약직,아니오,신입+경력,2025.10.02~2025.10.16,학력무관,경기,7명,https://www.kspo.or.kr/kspo/singl/empmn/view.do?empmnId=706&menuNo=200186&pageIndex=1,2025.10.02,2025.10.16,진행중
서울올림픽기념국민체육진흥공단 경정 조리원 채용 공고,서울올림픽기념국민체육진흥공단,음식서비스,무기계약직,아니오,신입+경력,2025.10.02~2025.10.16,학력무관,경기,2명,https://www.kspo.or.kr/kspo/singl/empmn/view.do?empmnId=705&menuNo=200186&pageIndex=1,2025.10.02,2025.10.16,진행중
한국토지주택공사 서울지역본부 기간제근로자(안전관리자 외) 채용공고,한국토지주택공사,경영.회계.사무/사회복지.종교/건설/전기.전자/환경.에너지.안전,비정규직,아니오,신입+경력,2025.10.02~2025.10.16,학력무관/대졸(2~3년)/대졸(4년),서울,5명,https://www.lh.or.kr/board.es?mid=a10602050000&bid=0036&act=view&list_no=726906&tag=&nPage=1,2025.10.02,2025.10.16,진행중
한국토지주택공사 강원지역본부 기간제근로자(주거복지관리) 채용공고,한국토지주택공사,경영.회계.사무/사회복지.종교,비정규직,예,신입+경력,2025.10.02~2025.10.17,학력무관,강원,1명,https://www.lh.or.kr/board.es?mid=a10602050000&bid=0036&act=view&list_no=726826&tag=&nPage=1,2025.10.02,2025.10.17,진행중
